2026-09-25 05:47:32,594 | INFO | pipeline.validate | Found 0 trips with unknown pickup/dropoff zone IDs
2026-09-25 05:47:32,597 | INFO | pipeline | Saved 80 flagged records for review
2026-09-25 05:47:32,604 | INFO | pipeline.model | Built trip model with 3000 rows and 29 columns
2026-09-25 05:47:32,637 | INFO | pipeline.metrics | Computed metrics: {'avg_trip_duration_min_by_borough': {'Bronx': 19.2, 'Brooklyn': 18.4, 'Staten Island': 18.2, 'Manhattan': 17.7, 'Queens': 17.5}, 'avg_speed_mph_by_borough': {'Queens': 22.4, 'Brooklyn': 19.8, 'Staten Island': 19.4, 'Manhattan': 18.7, 'Bronx': 18.0}, 'overall_avg_speed_mph': np.float64(19.8), 'trip_volume_by_hour': {0: 131, 1: 91, 2: 119, 3: 108, 4: 124, 5: 138, 6: 124, 7: 138, 8: 112, 9: 115, 10: 132, 11: 120, 12: 136, 13: 125, 14: 113, 15: 118, 16: 129, 17: 124, 18: 136, 19: 130, 20: 114, 21: 124, 22: 119, 23: 100}, 'avg_fare_per_mile_by_weather': {'rainy_day': 4.64, 'non_rainy_day': 4.54}, 'pct_records_flagged_invalid': np.float64(2.7)}
2026-09-25 05:47:32,639 | INFO | pipeline | ===== PIPELINE RUN SUCCEEDED =====
2026-09-25 20:37:59,477 | INFO | pipeline | ===== PIPELINE RUN START =====
2026-09-25 20:38:00,069 | INFO | pipeline.ingest | Loaded 3530109 trip records from yellow_tripdata_2026-07.parquet
2026-09-25 20:38:00,071 | INFO | pipeline.ingest | Loaded 265 zone lookup records from taxi_zone_lookup.csv
2026-09-25 20:38:01,107 | INFO | pipeline.ingest | Fetched weather data live from Open-Meteo API
2026-09-25 20:38:01,112 | INFO | pipeline.ingest | Loaded 31 days of weather data
2026-09-25 20:38:01,114 | INFO | pipeline.ingest | Retrieval completeness check passed
2026-09-25 20:38:01,398 | INFO | pipeline.validate | Profile summary: {'row_count': 3530109, 'null_counts': {'VendorID': 0, 'tpep_pickup_datetime': 0, 'tpep_dropoff_datetime': 0, 'passenger_count': 969727, 'trip_distance': 0, 'RatecodeID': 969727, 'store_and_fwd_flag': 969727, 'PULocationID': 0, 'DOLocationID': 0, 'payment_type': 0, 'fare_amount': 0, 'extra': 0, 'mta_tax': 0, 'tip_amount': 0, 'tolls_amount': 0, 'improvement_surcharge': 0, 'total_amount': 0, 'congestion_surcharge': 969727, 'Airport_fee': 969727, 'cbd_congestion_fee': 0, 'request_source': 2560692, 'trip_id': 0}, 'trip_distance_min': np.float64(0.0), 'trip_distance_max': np.float64(318129.1), 'fare_amount_min': np.float64(-980.0), 'fare_amount_max': np.float64(6466.6), 'passenger_count_unique': [0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]}
2026-09-25 20:38:02,063 | INFO | pipeline.validate | Validation summary: {'bad_time_order': 42316, 'zero_distance': 128322, 'negative_fare': 14200, 'bad_passenger_count': 978329, 'total_flagged': 1068588, 'total_rows': 3530109}
2026-09-25 20:38:03,209 | INFO | pipeline.validate | Found 0 trips with unknown pickup/dropoff zone IDs
2026-09-25 20:38:08,604 | INFO | pipeline | Saved 1068588 flagged records for review
2026-09-25 20:38:12,259 | INFO | pipeline.model | Built trip model with 3530109 rows and 42 columns
2026-09-25 20:38:53,856 | INFO | pipeline.metrics | Computed metrics: {'avg_trip_duration_min_by_borough': {'Staten Island': 36.1, 'Queens': 35.3, 'Brooklyn': 22.0, 'Unknown': 21.5, 'Bronx': 19.6, 'Manhattan': 14.6, 'EWR': 5.2}, 'avg_speed_mph_by_borough': {'Staten Island': 25.5, 'Unknown': 23.6, 'Queens': 23.3, 'EWR': 22.3, 'Bronx': 20.1, 'Brooklyn': 13.9, 'Manhattan': 9.5}, 'overall_avg_speed_mph': np.float64(11.0), 'trip_volume_by_hour': {0: 64339, 1: 40784, 2: 25613, 3: 16840, 4: 12140, 5: 15920, 6: 32717, 7: 61236, 8: 88669, 9: 104227, 10: 114065, 11: 124719, 12: 134117, 13: 143694, 14: 153081, 15: 154631, 16: 162424, 17: 174127, 18: 175825, 19: 157406, 20: 140882, 21: 143192, 22: 126010, 23: 94863}, 'avg_fare_per_mile_by_weather': {'rainy_day': 14.89, 'non_rainy_day': 15.19}, 'pct_records_flagged_invalid': np.float64(30.3)}
2026-09-25 20:38:53,926 | INFO | pipeline | ===== PIPELINE RUN SUCCEEDED =====
